AP807               苹果807
ni1906              镍1906
ni1907              镍1907
niefp               niefp
p1807               棕榈油1807
p1808               棕榈油1808
p1809               棕榈油1809
p1810               棕榈油1810
p1811               棕榈油1811
p1812               棕榈油1812
p1901               棕榈油1901
p1902               棕榈油1902
p1903               棕榈油1903
p1904               棕榈油1904
p1905               棕榈油1905
p1906               棕榈油1906
p1907               棕榈油1907
pb1807              铅1807
pb1808              铅1808
pb1809              铅1809
pb1810              铅1810
pb1811              铅1811
pb1812              铅1812
pb1901              铅1901
pb1902              铅1902
pb1903              铅1903
pb1904              铅1904
pb1905              铅1905
pb1906              铅1906
pb1907              铅1907
pbefp               pbefp
pp1807              聚丙烯1807
pp1808              聚丙烯1808
pp1809              聚丙烯1809
pp1810              聚丙烯1810
pp1811              聚丙烯1811
pp1812              聚丙烯1812
pp1901              聚丙烯1901
pp1902              聚丙烯1902
pp1903              聚丙烯1903
pp1904              聚丙烯1904
pp1905              聚丙烯1905
pp1906              聚丙烯1906
pp1907              聚丙烯1907
rb1807              螺纹钢1807
rb1808              螺纹钢1808
rb1809              螺纹钢1809
rb1810              螺纹钢1810
rb1811              螺纹钢1811
rb1812              螺纹钢1812
rb1901              螺纹钢1901
rb1902              螺纹钢1902
rb1903              螺纹钢1903
rb1904              螺纹钢1904
rb1905              螺纹钢1905
rb1906              螺纹钢1906
rb1907              螺纹钢1907
rbefp               rbefp
ru1807              天然橡胶1807
ru1808              天然橡胶1808
ru1809              天然橡胶1809
ru1810              天然橡胶1810
ru1811              天然橡胶1811
ru1901              天然橡胶1901
ru1903              天然橡胶1903
ru1904              天然橡胶1904
ru1905              天然橡胶1905
ru1906              天然橡胶1906
ru1907              天然橡胶1907
ruefp               ruefp
sc1807              原油1807
sc1808              原油1808
sc1809              原油1809
sc1810              原油1810
sc1811              原油1811
sc1812              原油1812
sc1901              原油1901
sc1902              原油1902
sc1903              原油1903
sc1904              原油1904
sc1905              原油1905
sc1906              原油1906
sc1907              原油1907
sc1909              原油1909
sc1912              原油1912
sc2003              原油2003
sc2006              原油2006
sc2009              原油2009
sc2012              原油2012
sc2103              原油2103
sc2106              原油2106
scefp               scefp
sn1807              锡1807
sn1808              锡1808
sn1809              锡1809
sn1810              锡1810
sn1811              锡1811
sn1812              锡1812
sn1901              锡1901
sn1902              锡1902
sn1903              锡1903
sn1904              锡1904
sn1905              锡1905
sn1906              锡1906
sn1907              锡1907
snefp               snefp
v1807               聚氯乙烯1807
v1808               聚氯乙烯1808
v1809               聚氯乙烯1809
v1810               聚氯乙烯1810
v1811               聚氯乙烯1811
v1812               聚氯乙烯1812
v1901               聚氯乙烯1901
v1902               聚氯乙烯1902
v1903               聚氯乙烯1903
v1904               聚氯乙烯1904
v1905               聚氯乙烯1905
v1906               聚氯乙烯1906
v1907               聚氯乙烯1907
wr1807              线材1807
wr1808              线材1808
wr1809              线材1809
wr1810              线材1810
wr1811              线材1811
wr1812              线材1812
wr1901              线材1901
wr1902              线材1902
wr1903              线材1903
wr1904              线材1904
wr1905              线材1905
wr1906              线材1906
wr1907              线材1907
wrefp               wrefp
y1807               豆油1807
y1808               豆油1808
y1809               豆油1809
y1811               豆油1811
y1812               豆油1812
y1901               豆油1901
y1903               豆油1903
y1905               豆油1905
y1907               豆油1907
zn1807              锌1807
zn1808              锌1808
zn1809              锌1809
zn1810              锌1810
zn1811              锌1811
zn1812              锌1812
zn1901              锌1901
zn1902              锌1902
zn1903              锌1903
zn1904              锌1904
zn1905              锌1905
zn1906              锌1906
zn1907              锌1907
znefp               znefp
